deg	size	n	ot(ms)	st(ms) 
2	2	10	0	0
2	4	10	0	0
2	8	10	0	1
2	16	10	1	7
2	32	10	4	18
2	64	10	32	121
2	128	1	270	919
2	256	1	3235	5760
2	512	1	28543	42193
4	2	10	0	0
4	4	10	0	0
4	8	10	0	0
4	16	10	0	2
4	32	10	3	16
4	64	10	33	123
4	128	1	325	852
4	256	1	3639	5971
4	512	1	33589	41701
8	2	10	0	0
8	4	10	0	0
8	8	10	0	0
8	16	10	0	2
8	32	10	6	19
8	64	10	53	131
8	128	1	500	944
8	256	1	5756	6567
8	512	1	48535	45857
16	2	10	0	0
16	4	10	0	0
16	8	10	0	0
16	16	10	1	4
16	32	10	15	25
16	64	10	124	175
16	128	1	1158	1242
16	256	1	11026	8892
32	2	1	0	1
32	4	1	0	0
32	8	1	1	1
32	16	1	6	6
32	32	1	53	51
32	64	1	414	333
32	128	1	3402	2312
32	256	1	28404	16555
64	2	1	0	0
64	4	1	0	0
64	8	1	3	3
64	16	1	24	22
64	32	1	203	124
64	64	1	1551	869
64	128	1	12511	6146
64	256	1	103881	43805
128	2	1	0	0
128	4	1	2	1
128	8	1	11	8
128	16	1	96	64
128	32	1	776	401
128	64	1	5666	2900
128	128	1	44990	20423
128	256	1	365970	143147
